                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6898,                 4.2438,                 3.3919,                0.08831,                0.07784,                0.02186,                0.00311,                 3.8542,                 4.4314,                 1.4726,               0.003316,               0.003316,               0.003316
                      2,                 3.0831,                 2.6445,                 2.1926,                0.05978,                0.08982,                0.02205,                 0.0035,                 3.8107,                 3.0557,                 1.5291,              0.0066427,              0.0066427,              0.0066427
                      3,                 2.4403,                 2.1491,                  2.033,                0.40622,                 0.4012,                0.39787,                0.12916,                 2.2061,                 2.9822,                 2.1235,              0.0099629,              0.0099629,              0.0099629
                      4,                 1.9726,                 1.8871,                 1.7955,                0.32988,                0.53293,                 0.3414,                0.14348,                 1.8725,                 1.8866,                 1.7296,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.7573,                 1.6844,                 1.5895,                0.55941,                0.65384,                 0.6381,                0.31948,                 1.6489,                 1.4755,                 1.5296,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.5972,                 1.4917,                 1.4662,                0.65044,                0.68862,                0.71635,                0.35135,                 1.6249,                 1.4185,                 1.4616,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.5118,                 1.3905,                 1.3886,                0.73475,                0.57485,                0.71129,                0.38507,                 1.5133,                 1.6128,                 1.4337,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.4561,                 1.3331,                 1.3558,                0.73501,                0.76048,                0.76766,                0.44891,                 1.3692,                 1.2921,                 1.2891,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3922,                 1.2548,                 1.2999,                0.81087,                0.71883,                0.80835,                0.50502,                 1.1687,                 1.0672,                  1.213,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.3555,                 1.2242,                 1.2646,                0.77522,                0.72282,                0.80536,                0.48583,                 1.2465,                 1.1456,                 1.2186,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.3009,                  1.145,                  1.257,                0.76723,                0.75003,                0.83031,                0.54292,                 1.2231,                0.98085,                  1.176,               0.009901,               0.009901,               0.009901
                     12,                 1.2798,                 1.1575,                 1.2216,                0.73927,                0.82635,                0.82329,                0.57283,                 1.0049,                 1.0177,                 1.1153,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.2461,                 1.1251,                 1.2103,                0.77317,                0.73653,                0.80797,                0.51354,                  1.254,                 1.0352,                  1.213,              0.0098812,              0.0098812,              0.0098812
                     14,                  1.239,                 1.0962,                 1.2001,                0.72909,                0.85413,                0.82553,                0.57683,                  1.025,                0.96795,                 1.1326,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.2072,                 1.0728,                 1.1799,                0.70001,                0.83832,                0.83064,                0.56255,                 1.1261,                0.97578,                 1.1394,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.1975,                 1.0678,                  1.169,                0.77618,                0.79042,                0.84554,                0.60574,                0.99341,                0.92175,                 1.1024,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.1905,                 1.0623,                 1.1696,                0.73405,                0.84431,                0.83479,                0.60828,                0.99438,                0.94081,                 1.1129,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.1678,                 1.0348,                 1.1542,                0.72445,                0.83441,                0.84827,                0.58503,                 1.0042,                0.92767,                 1.0806,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.1566,                 1.0152,                   1.15,                0.76065,                0.86228,                 0.8771,                0.60657,                 1.0322,                0.88548,                 1.0895,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.1441,                 1.0026,                 1.1434,                 0.8158,                0.82036,                0.86363,                0.61569,                 0.9756,                0.88068,                 1.0696,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.1329,                0.99452,                 1.1445,                0.81665,                0.80014,                0.85759,                0.62364,                0.96914,                0.90505,                 1.0628,               0.009802,               0.009802,               0.009802
                     22,                 1.1184,                0.98051,                 1.1235,                0.73935,                 0.8503,                0.85702,                0.63109,                0.94759,                0.86269,                 1.0608,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.1079,                0.97648,                 1.1204,                0.81628,                0.77157,                0.85871,                0.63036,                0.98532,                0.86984,                 1.0752,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.1126,                0.97075,                 1.1172,                0.78523,                0.85385,                0.88098,                0.62768,                0.99489,                0.84394,                 1.0448,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.0888,                0.97094,                 1.1128,                0.78857,                 0.8487,                0.87849,                0.62666,                0.95406,                0.85797,                 1.0446,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.0838,                0.94469,                 1.1116,                0.75729,                0.82635,                0.87124,                0.62333,                 1.0119,                0.85481,                 1.0457,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.0931,                0.93981,                 1.1107,                0.80523,                0.85629,                0.89247,                0.67774,                0.92747,                0.80297,                 1.0004,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.0692,                0.92763,                 1.1008,                0.77861,                 0.8213,                0.88911,                0.65883,                0.94208,                0.80298,                 1.0171,              0.0097327,              0.0097327,              0.0097327
                     29,                  1.062,                0.91957,                 1.0904,                  0.827,                0.83832,                0.88407,                0.64607,                0.92041,                0.85402,                 1.0169,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.0602,                0.91266,                 1.0963,                0.74435,                0.90663,                0.88676,                0.66935,                0.92406,                0.79928,                 1.0171,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.0497,                0.90208,                 1.0887,                 0.7995,                0.85629,                0.90684,                 0.6773,                0.92019,                0.79961,                0.99732,               0.009703,               0.009703,               0.009703
                     32,                 1.0395,                0.89584,                 1.0827,                0.77744,                0.89943,                0.88689,                0.65455,                0.89964,                0.76471,                0.99837,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.0417,                0.88043,                 1.0822,                0.78396,                0.86915,                0.89431,                0.66861,                 0.9112,                0.77824,                 1.0067,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.0208,                0.88599,                 1.0715,                0.81118,                0.84892,                0.90012,                0.67556,                0.91726,                0.77825,                 1.0166,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.0361,                0.88062,                 1.0881,                0.84596,                0.78924,                0.90045,                0.67214,                0.88023,                0.75691,                0.99697,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0144,                0.86235,                 1.0684,                0.80266,                0.87683,                 0.9064,                0.68888,                0.83013,                0.73253,                0.99673,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0224,                0.89108,                 1.0774,                0.81672,                0.86228,                0.90554,                0.69093,                0.84609,                0.76351,                0.99097,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.0142,                 0.8717,                 1.0715,                0.80512,                0.86586,                0.90974,                0.68622,                0.83366,                0.76191,                0.97675,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0032,                0.85166,                 1.0733,                0.82761,                0.86826,                0.90667,                0.69364,                0.86966,                 0.7324,                 1.0086,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0088,                0.85908,                 1.0637,                0.80828,                0.85834,                0.90095,                 0.6854,                0.86761,                0.77464,                0.98447,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.0218,                0.85285,                 1.0677,                0.80738,                0.87425,                 0.9179,                0.70792,                0.84646,                0.74058,                0.98312,               0.009604,               0.009604,               0.009604
                     42,                 1.0013,                0.84934,                 1.0694,                0.84733,                0.86228,                0.91588,                0.68482,                 0.8647,                0.76356,                0.99879,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0004,                 0.8543,                 1.0598,                0.88155,                0.83832,                0.92539,                0.71195,                0.82733,                0.70613,                0.98474,              0.0095842,              0.0095842,              0.0095842
                     44,                0.98436,                0.84846,                  1.062,                0.81934,                 0.8503,                 0.9089,                0.71681,                0.81692,                0.73399,                0.98022,              0.0095743,              0.0095743,              0.0095743
                     45,                0.98856,                0.83674,                 1.0562,                0.83623,                 0.8561,                0.91381,                  0.708,                  0.841,                0.72494,                0.98499,              0.0095644,              0.0095644,              0.0095644
                     46,                0.97622,                0.83392,                  1.052,                0.80412,                0.88496,                0.91569,                0.68532,                0.87583,                0.72804,                0.98237,              0.0095545,              0.0095545,              0.0095545
                     47,                0.98178,                0.83526,                  1.047,                0.89202,                0.79641,                0.92292,                0.71596,                0.82903,                0.71194,                0.98188,              0.0095446,              0.0095446,              0.0095446
                     48,                0.96783,                0.81575,                 1.0505,                0.90957,                0.78294,                0.91352,                0.70345,                0.82514,                0.73459,                0.97869,              0.0095347,              0.0095347,              0.0095347
                     49,                0.98935,                0.83571,                 1.0508,                0.82113,                0.86228,                0.91426,                0.70734,                0.82099,                0.72255,                0.97855,              0.0095248,              0.0095248,              0.0095248
                     50,                0.98087,                0.82189,                 1.0552,                0.87483,                0.83704,                0.92875,                0.70921,                0.83832,                0.70866,                0.97647,              0.0095149,              0.0095149,              0.0095149
                     51,                0.97329,                 0.8326,                 1.0426,                0.82022,                0.83832,                0.92186,                0.71807,                0.85172,                0.69057,                0.98987,               0.009505,               0.009505,               0.009505
                     52,                 0.9692,                0.82277,                 1.0447,                0.85647,                0.78443,                0.89974,                0.69209,                 0.8454,                0.72535,                0.97841,              0.0094951,              0.0094951,              0.0094951
                     53,                0.97254,                0.81897,                 1.0491,                0.78805,                0.91284,                0.92458,                0.72098,                0.81357,                0.67483,                0.96812,              0.0094852,              0.0094852,              0.0094852
